date,value,close,position,returns,cummax,drawdown
2021-07-30,109974.99284191513,1455.9757699999998,-61,0.04087597597295489,113285.00000000001,-0.029218406303437194
2021-08-02,105338.38284191513,1531.9857699999998,-61,-0.04216058469460371,113285.00000000001,-0.07014712590444361
2021-08-03,105686.08284191512,1526.2857699999997,-61,0.0033007911325333428,113285.00000000001,-0.06707787578306834
2021-08-04,107229.38284191513,1500.9857699999998,-61,0.014602679543989305,113285.00000000001,-0.05345471296363058
2021-08-05,108754.38284191511,1475.98577,-61,0.014221848150037797,113285.00000000001,-0.0399930896242654
2021-08-06,110462.38284191511,1447.98577,-61,0.01570511417900966,113285.00000000001,-0.024916071484176183
2021-08-09,109071.58284191512,1470.7857699999997,-61,-0.012590711554632983,113285.00000000001,-0.03719307196967725
2021-08-10,102654.38284191513,1575.9857699999998,-61,-0.05883475633887958,113285.00000000001,-0.09383958298172657
2021-08-11,105612.88284191513,1527.4857699999998,-61,0.02882000668744955,113285.00000000001,-0.06772403370335778
2021-08-12,109303.38284191513,1466.9857699999998,-61,0.034943653659412544,113285.00000000001,-0.03514690522209374
2021-08-13,108690.94284191512,1477.0257699999997,-61,-0.0056031202701728455,113285.00000000001,-0.04055309315518285
2021-08-16,108742.18284191514,1476.1857699999996,-61,0.00047142842503955507,113285.00000000001,-0.040100782610980046
2021-08-17,112658.38284191513,1411.9857699999998,-61,0.03601362321090429,113285.00000000001,-0.0055313338754900965
2021-08-18,113573.38284191513,1396.9857699999998,-61,0.008121898938350247,113573.38284191513,0.0
2021-08-19,113575.21284191513,1396.9557699999998,-61,1.6112930285361315e-05,113575.21284191513,0.0
2021-08-20,117965.38284191513,1324.9857699999998,-61,0.0386542969204966,117965.38284191513,0.0
2021-08-23,116611.79284191513,1347.1757699999998,-61,-0.011474467910759345,117965.38284191513,-0.011474467910759345
2021-08-24,113257.40284191513,1402.1657699999998,-61,-0.028765444028009957,117965.38284191513,-0.039909843774331155
2021-08-25,110827.16284191512,1442.0057699999998,-61,-0.02145767021862699,117965.38284191513,-0.06051114172677163
2021-08-26,115098.38284191513,1371.9857699999998,-61,0.03853946893950999,117965.38284191513,-0.024303740054334888
2021-08-27,115035.55284191511,1373.01577,-61,-0.0005458808234196644,117965.38284191513,-0.02483635393212147
2021-08-30,115647.38284191513,1362.9857699999998,-61,0.005318616591870606,117965.38284191513,-0.019649832384355803
2021-08-31,117355.38284191511,1334.98577,-61,0.014769032882782529,117965.38284191513,-0.005171008522198983
2021-09-01,113450.77284191511,1398.99577,-61,-0.03327167365863182,117965.38284191513,-0.038270634072794296
2021-09-02,113646.58284191512,1395.78577,-61,0.0017259468145964796,117965.38284191513,-0.03661074033716827
2021-09-03,111241.96284191513,1435.2057699999998,-61,-0.021158753214294834,117965.38284191513,-0.0569948559316763
2021-09-06,110482.51284191512,1447.6557699999998,-61,-0.0068270100652507715,117965.38284191513,-0.0634327615418141
