date,symbol,action,price,size,value,commission
2024-07-01,中钨高新,BUY,8.84,5225,46189.0,5.0
2024-07-01,瑞华泰,BUY,30.900000000000002,18436,569672.4,48.65002296
2024-08-01,中钨高新,SELL,8.29,-66003,529981.8799999999,46.727879898
2024-08-01,厦门钨业,BUY,16.195999999999998,34894,565143.2239999999,48.263231329599996
2024-09-02,厦门钨业,SELL,15.975999999999997,-34894,565143.2239999999,47.60764285759999
2024-09-02,瑞华泰,BUY,26.650000000000002,2252,60015.8,5.125349320000001
2024-10-08,瑞华泰,SELL,35.80000000000001,-20688,629688.2000000001,63.24983616000002
2024-10-08,厦门钨业,BUY,21.996,28923,636190.308,54.3306523032
2024-11-01,厦门钨业,SELL,18.496,-28923,636190.308,45.6855676032
2024-11-01,章源钨业,BUY,6.468,80555,521029.74,44.495939796
2024-11-01,中国稀土,BUY,5.6986300000000005,103402,589249.7392600001,50.321927732804006
2024-12-02,章源钨业,BUY,7.608,552,4199.616,5.0
2024-12-02,中国稀土,BUY,6.048630000000001,1447,8752.367610000001,5.0
