"Date","ETF","Weight"
2025-06-30,"沪深300ETF",0.421579289432276
2025-07-01,"沪深300ETF",0.491839253066199
2025-07-02,"沪深300ETF",0.515627024864691
2025-07-03,"沪深300ETF",0.504795623994545
2025-07-04,"沪深300ETF",0.476759798954017
2025-07-07,"沪深300ETF",0.435904507042236
2025-07-08,"沪深300ETF",0.537689711949083
2025-07-09,"沪深300ETF",0.53774458732069
2025-07-10,"沪深300ETF",0.504171446346121
2025-07-11,"沪深300ETF",0.518917244539902
2025-07-14,"沪深300ETF",0.591425106565632
2025-07-15,"沪深300ETF",0.546807812598107
2025-07-16,"沪深300ETF",0.546845978085277
2025-07-17,"沪深300ETF",0.573336394746487
2025-07-18,"沪深300ETF",0.574599953653185
2025-07-21,"沪深300ETF",0.573857384841603
2025-07-22,"沪深300ETF",0.549676454722751
2025-07-23,"沪深300ETF",0.50436075781523
2025-07-24,"沪深300ETF",0.653485011524434
2025-07-25,"沪深300ETF",0.655381395965681
2025-07-28,"沪深300ETF",0.636655583731612
2025-07-29,"沪深300ETF",0.669521497966768
2025-07-30,"沪深300ETF",0.6771561920243
2025-07-31,"沪深300ETF",0.415112147309711
2025-08-01,"沪深300ETF",0.578325340475337
2025-08-04,"沪深300ETF",0.650352308130138
2025-08-05,"沪深300ETF",0.562158583568486
2025-08-06,"沪深300ETF",0.487219664754014
2025-08-07,"沪深300ETF",0.473788910999537
2025-08-08,"沪深300ETF",0.372515356155827
2025-08-11,"沪深300ETF",0.462165965547801
2025-08-12,"沪深300ETF",0.601565074795953
2025-08-13,"沪深300ETF",0.548061271905099
2025-08-14,"沪深300ETF",0.528089748690348
2025-08-15,"沪深300ETF",0.593568078418772
2025-08-18,"沪深300ETF",0.656267949346284
2025-08-19,"沪深300ETF",0.589740659815175
2025-08-20,"沪深300ETF",0.777721906025311
2025-08-21,"沪深300ETF",0.74549999034298
2025-08-22,"沪深300ETF",0.917621602005331
2025-08-25,"沪深300ETF",0.812243729314057
2025-08-26,"沪深300ETF",0.716398323511997
2025-08-27,"沪深300ETF",0.609007383040721
2025-08-28,"沪深300ETF",0.740466981548599
2025-08-29,"沪深300ETF",0.684877681999044
2025-09-01,"沪深300ETF",0.649230535139744
2025-09-02,"沪深300ETF",0.675159425809001
2025-09-03,"沪深300ETF",0.555135957887767
2025-09-04,"沪深300ETF",0.50607066286413
2025-09-05,"沪深300ETF",0.537297298000304
2025-09-08,"沪深300ETF",0.431411785195213
2025-09-09,"沪深300ETF",0.333809443090859
2025-09-10,"沪深300ETF",0.333209433939906
2025-09-11,"沪深300ETF",0.419982588683591
2025-09-12,"沪深300ETF",0.336387914062657
2025-09-15,"沪深300ETF",0.308229182996148
2025-09-16,"沪深300ETF",0.265574593562471
2025-09-17,"沪深300ETF",0.253080768567678
2025-09-18,"沪深300ETF",0.228587028942199
2025-09-19,"沪深300ETF",0.127803965143405
2025-09-22,"沪深300ETF",0.0630456341393546
2025-09-23,"沪深300ETF",0.0750339761454999
2025-09-24,"沪深300ETF",0.174529716436451
2025-09-25,"沪深300ETF",0.142275562937009
2025-09-26,"沪深300ETF",0.060077517870203
2025-09-29,"沪深300ETF",0.09432548905104
2025-09-30,"沪深300ETF",0.115688183455648
2025-10-09,"沪深300ETF",0.17914288091066
2025-10-10,"沪深300ETF",0.188319091493473
2025-10-13,"沪深300ETF",0.139408628242176
2025-10-14,"沪深300ETF",0.100675716640466
2025-10-15,"沪深300ETF",0.167296734251078
2025-10-16,"沪深300ETF",0.164368420928345
2025-10-17,"沪深300ETF",0
2025-10-20,"沪深300ETF",0.0301632796772659
2025-10-21,"沪深300ETF",0.0889837008215828
2025-10-22,"沪深300ETF",0.105807172904968
2025-10-23,"沪深300ETF",0.0864801333621339
2025-10-24,"沪深300ETF",0
2025-10-27,"沪深300ETF",0.286409122751304
2025-10-28,"沪深300ETF",0.309839472174476
2025-10-29,"沪深300ETF",0.353481191162463
2025-10-30,"沪深300ETF",0.320730268058937
2025-10-31,"沪深300ETF",0.17589891199733
2025-11-03,"沪深300ETF",0.136561302121514
2025-11-04,"沪深300ETF",0.185779692261892
2025-11-05,"沪深300ETF",0.0471877633115839
2025-11-06,"沪深300ETF",0.207904056617252
2025-11-07,"沪深300ETF",0
2025-11-10,"沪深300ETF",0.272414114570575
2025-11-11,"沪深300ETF",0.238437334305619
2025-11-12,"沪深300ETF",0.393971930236072
2025-11-13,"沪深300ETF",0.409781827070776
2025-11-14,"沪深300ETF",0.155466966408624
2025-11-17,"沪深300ETF",0.598142357451647
2025-11-18,"沪深300ETF",1
2025-11-19,"沪深300ETF",0
2025-11-20,"沪深300ETF",0
2025-11-21,"沪深300ETF",0
2025-11-24,"沪深300ETF",0
2025-11-25,"沪深300ETF",0
2025-11-26,"沪深300ETF",0
2025-11-27,"沪深300ETF",0
2025-11-28,"沪深300ETF",0
2025-12-01,"沪深300ETF",0
2025-12-02,"沪深300ETF",0
2025-12-03,"沪深300ETF",0
2025-12-04,"沪深300ETF",0
2025-12-05,"沪深300ETF",0
2025-12-08,"沪深300ETF",0
2025-12-09,"沪深300ETF",0
2025-12-10,"沪深300ETF",0
2025-12-11,"沪深300ETF",0
2025-12-12,"沪深300ETF",0
2025-12-15,"沪深300ETF",0
2025-12-16,"沪深300ETF",0
2025-12-17,"沪深300ETF",0.017913963087323
2025-12-18,"沪深300ETF",0
2025-12-19,"沪深300ETF",0.263540021691605
2025-12-22,"沪深300ETF",0.289478133580654
2025-12-23,"沪深300ETF",0.297366730289562
2025-12-24,"沪深300ETF",0.313736366463187
2025-12-25,"沪深300ETF",0.371363559069627
2025-12-26,"沪深300ETF",0.381950734054182
2025-12-29,"沪深300ETF",0.328330476504615
2025-12-30,"沪深300ETF",0.552374657662691
2025-12-31,"沪深300ETF",0.605529916645361
2026-01-05,"沪深300ETF",0.54301782619933
2026-01-06,"沪深300ETF",0.564741884792034
2026-01-07,"沪深300ETF",0.518183233312751
2026-01-08,"沪深300ETF",0.457877606410133
